Country,Region,Date,Kilotons of Co2,Metric Tons Per Capita
Afghanistan,Asia,01-01-2019,6080.0,0.16
Albania,Europe,01-01-2019,4830.0,1.69
Algeria,Africa,01-01-2019,171250.0,4.01
Andorra,Europe,01-01-2019,500.0,6.55
Angola,Africa,01-01-2019,25210.0,0.78
Antigua And Barbuda,Americas,01-01-2019,520.0,5.65
Argentina,Americas,01-01-2019,168100.01,3.74
Armenia,Asia,01-01-2019,6170.0,2.19
Australia,Oceania,01-01-2019,386530.0,15.25
Austria,Europe,01-01-2019,64770.0,7.29
Azerbaijan,Asia,01-01-2019,35510.0,3.54
Bahamas,Americas,01-01-2019,2840.0,7.02
Bahrain,Asia,01-01-2019,33260.0,22.26
Bangladesh,Asia,01-01-2019,90740.0,0.55
Barbados,Americas,01-01-2019,1250.0,4.46
Belarus,Europe,01-01-2019,57670.0,6.12
Belgium,Europe,01-01-2019,93010.0,8.1
Belize,Americas,01-01-2019,640.0,1.64
Benin,Africa,01-01-2019,7300.0,0.59
Bhutan,Asia,01-01-2019,1050.0,1.37
Bolivia,Americas,01-01-2019,22340.0,1.9
Bosnia and Herz.,Europe,01-01-2019,21070.0,6.27
Botswana,Africa,01-01-2019,7250.0,2.9
Brazil,Americas,01-01-2019,434299.99,2.05
Brunei,Asia,01-01-2019,6990.0,15.96
Bulgaria,Europe,01-01-2019,39140.0,5.61
Burkina Faso,Africa,01-01-2019,5000.0,0.24
Burundi,Africa,01-01-2019,720.0,0.06
Cabo Verde,Africa,01-01-2019,650.0,1.13
Cambodia,Asia,01-01-2019,16180.0,1.0
Cameroon,Africa,01-01-2019,9430.0,0.37
Canada,Americas,01-01-2019,580210.02,15.43
Central African Rep.,Africa,01-01-2019,240.0,0.05
Chad,Africa,01-01-2019,2250.0,0.14
Chile,Americas,01-01-2019,91370.0,4.8
China,Asia,01-01-2019,10707219.73,7.61
Colombia,Americas,01-01-2019,81040.0,1.61
Comoros,Africa,01-01-2019,320.0,0.4
Costa Rica,Americas,01-01-2019,8240.0,1.62
Croatia,Europe,01-01-2019,16520.0,4.06
Cuba,Americas,01-01-2019,25910.0,2.29
Cyprus,Asia,01-01-2019,7190.0,5.85
Czechia,Europe,01-01-2019,96290.0,9.02
Dem. Rep. Congo,Africa,01-01-2019,3210.0,0.04
Denmark,Europe,01-01-2019,29700.0,5.11
Djibouti,Africa,01-01-2019,420.0,0.39
Dominica,Americas,01-01-2019,170.0,2.38
Dominican Rep.,Americas,01-01-2019,27230.0,2.5
Ecuador,Americas,01-01-2019,39290.0,2.27
Egypt,Africa,01-01-2019,249370.0,2.36
El Salvador,Americas,01-01-2019,7800.0,1.24
Eq. Guinea,Africa,01-01-2019,5350.0,3.44
Eritrea,Africa,01-01-2019,880.0,0.25
Estonia,Europe,01-01-2019,10180.0,7.67
eSwatini,Africa,01-01-2019,960.0,0.82
Ethiopia,Africa,01-01-2019,18360.0,0.16
Fiji,Oceania,01-01-2019,1630.0,1.77
Finland,Europe,01-01-2019,40710.0,7.37
France,Europe,01-01-2019,300519.99,4.46
Gabon,Africa,01-01-2019,5250.0,2.34
Gambia,Africa,01-01-2019,580.0,0.23
Georgia,Asia,01-01-2019,10110.0,2.72
Germany,Europe,01-01-2019,657400.02,7.91
Ghana,Africa,01-01-2019,20040.0,0.64
Greece,Europe,01-01-2019,60000.0,5.6
Grenada,Americas,01-01-2019,330.0,2.69
Guatemala,Americas,01-01-2019,19310.0,1.16
Guinea,Africa,01-01-2019,3950.0,0.31
Guinea-Bissau,Africa,01-01-2019,330.0,0.17
Guyana,Americas,01-01-2019,2850.0,3.57
Haiti,Americas,01-01-2019,3320.0,0.3
Honduras,Americas,01-01-2019,10220.0,1.03
Hungary,Europe,01-01-2019,46380.0,4.75
Iceland,Europe,01-01-2019,1640.0,4.55
India,Asia,01-01-2019,2456300.05,1.78
Indonesia,Asia,01-01-2019,619840.03,2.3
Iran,Asia,01-01-2019,630010.01,7.28
Iraq,Asia,01-01-2019,174560.0,4.2
Ireland,Europe,01-01-2019,35750.0,7.25
Israel,Asia,01-01-2019,62650.0,6.92
Italy,Europe,01-01-2019,317239.99,5.31
Jamaica,Americas,01-01-2019,8390.0,2.98
Japan,Asia,01-01-2019,1081569.95,8.54
Jordan,Asia,01-01-2019,24630.0,2.3
Kazakhstan,Asia,01-01-2019,212110.0,11.46
Kenya,Africa,01-01-2019,22280.0,0.44
Kiribati,Oceania,01-01-2019,90.0,0.72
Kuwait,Asia,01-01-2019,92650.0,20.86
Kyrgyzstan,Asia,01-01-2019,10050.0,1.56
Laos,Asia,01-01-2019,18710.0,2.59
Latvia,Europe,01-01-2019,7570.0,3.96
Lebanon,Asia,01-01-2019,27950.0,4.83
Lesotho,Africa,01-01-2019,770.0,0.35
Liberia,Africa,01-01-2019,1180.0,0.24
Libya,Africa,01-01-2019,56800.0,8.65
Liechtenstein,Europe,01-01-2019,150.0,3.9
Lithuania,Europe,01-01-2019,11730.0,4.2
Luxembourg,Europe,01-01-2019,9490.0,15.31
Madagascar,Africa,01-01-2019,4120.0,0.15
Malawi,Africa,01-01-2019,1450.0,0.08
Malaysia,Asia,01-01-2019,253270.0,7.72
Maldives,Asia,01-01-2019,2110.0,4.18
Mali,Africa,01-01-2019,5830.0,0.28
Malta,Europe,01-01-2019,1660.0,3.29
Marshall Islands,Oceania,01-01-2019,180.0,4.02
Mauritania,Africa,01-01-2019,3950.0,0.9
Mauritius,Africa,01-01-2019,4170.0,3.29
Mexico,Americas,01-01-2019,449269.99,3.59
Micronesia,Oceania,01-01-2019,180.0,1.62
Moldova,Europe,01-01-2019,8860.0,3.33
Mongolia,Asia,01-01-2019,23070.0,7.14
Montenegro,Europe,01-01-2019,2600.0,4.18
Morocco,Africa,01-01-2019,71480.0,1.97
Mozambique,Africa,01-01-2019,7500.0,0.25
Myanmar,Asia,01-01-2019,36720.0,0.69
Namibia,Africa,01-01-2019,4220.0,1.72
Nauru,Oceania,01-01-2019,60.0,4.95
Nepal,Asia,01-01-2019,13450.0,0.47
Netherlands,Europe,01-01-2019,146340.0,8.44
New Zealand,Oceania,01-01-2019,34010.0,6.83
Nicaragua,Americas,01-01-2019,5240.0,0.79
Niger,Africa,01-01-2019,2150.0,0.09
Nigeria,Africa,01-01-2019,115280.0,0.57
North Korea,Asia,01-01-2019,56040.0,2.18
Macedonia,Europe,01-01-2019,8300.0,4.0
Norway,Europe,01-01-2019,35950.0,6.72
Oman,Asia,01-01-2019,76030.0,16.52
Pakistan,Asia,01-01-2019,190570.01,0.85
Palau,Oceania,01-01-2019,250.0,13.95
Panama,Americas,01-01-2019,13340.0,3.15
Papua New Guinea,Oceania,01-01-2019,7580.0,0.79
Paraguay,Americas,01-01-2019,8210.0,1.26
Peru,Americas,01-01-2019,56750.0,1.73
Philippines,Asia,01-01-2019,145420.0,1.32
Poland,Europe,01-01-2019,295130.0,7.77
Portugal,Europe,01-01-2019,44640.0,4.34
Qatar,Asia,01-01-2019,91970.0,32.76
Congo,Africa,01-01-2019,7260.0,1.3
Romania,Europe,01-01-2019,73950.0,3.82
Russia,Europe,01-01-2019,1703589.97,11.8
Rwanda,Africa,01-01-2019,1330.0,0.1
Samoa,Oceania,01-01-2019,300.0,1.42
Sao Tome And Principe,Africa,01-01-2019,150.0,0.7
Saudi Arabia,Asia,01-01-2019,523780.03,14.62
Senegal,Africa,01-01-2019,10620.0,0.66
Serbia,Europe,01-01-2019,45950.0,6.62
Seychelles,Africa,01-01-2019,610.0,6.25
Sierra Leone,Africa,01-01-2019,900.0,0.11
Singapore,Asia,01-01-2019,47380.0,8.31
Slovakia,Europe,01-01-2019,31080.0,5.7
Slovenia,Europe,01-01-2019,13600.0,6.51
Solomon Islands,Oceania,01-01-2019,360.0,0.53
Somalia,Africa,01-01-2019,690.0,0.04
South Africa,Africa,01-01-2019,439640.01,7.57
South Korea,Asia,01-01-2019,610789.98,11.8
S. Sudan,Africa,01-01-2019,1700.0,0.16
Spain,Europe,01-01-2019,239980.0,5.09
Sri Lanka,Asia,01-01-2019,23780.0,1.09
St. Kitts And Nevis,Americas,01-01-2019,250.0,5.24
St. Lucia,Americas,01-01-2019,540.0,3.02
St. Vincent And The Grenadines,Americas,01-01-2019,260.0,2.48
Sudan,Africa,01-01-2019,20620.0,0.48
Suriname,Americas,01-01-2019,2650.0,4.41
Sweden,Europe,01-01-2019,35000.0,3.41
Switzerland,Europe,01-01-2019,37380.0,4.36
Syria,Asia,01-01-2019,25710.0,1.28
Tajikistan,Asia,01-01-2019,9420.0,1.01
Tanzania,Africa,01-01-2019,12450.0,0.21
Thailand,Asia,01-01-2019,267090.0,3.75
Timor-Leste,Asia,01-01-2019,620.0,0.48
Togo,Africa,01-01-2019,2370.0,0.29
Tonga,Oceania,01-01-2019,160.0,1.52
Trinidad And Tobago,Americas,01-01-2019,17190.0,11.31
Tunisia,Africa,01-01-2019,29910.0,2.48
Turkey,Asia,01-01-2019,396840.0,4.75
Turkmenistan,Asia,01-01-2019,72870.0,11.83
Tuvalu,Oceania,01-01-2019,10.0,0.91
United Arab Emirates,Asia,01-01-2019,188860.0,20.5
Uganda,Africa,01-01-2019,5860.0,0.14
Ukraine,Europe,01-01-2019,174730.0,3.94
United Kingdom,Europe,01-01-2019,348920.01,5.22
United States of America,Americas,01-01-2019,4817720.21,14.67
Uruguay,Americas,01-01-2019,6490.0,1.89
Uzbekistan,Asia,01-01-2019,116710.0,3.48
Vanuatu,Oceania,01-01-2019,210.0,0.69
Venezuela,Americas,01-01-2019,112340.0,3.88
Vietnam,Asia,01-01-2019,336489.99,3.51
Yemen,Asia,01-01-2019,11100.0,0.35
Zambia,Africa,01-01-2019,6800.0,0.37
Zimbabwe,Africa,01-01-2019,11760.0,0.77
